meta_datetime,meta_git,params_batch,params_dropout,params_early_stopping,params_eps_decay,params_epsilon,params_gamma,params_layers,params_learning_rate,params_max_turns,params_min_epsilon,params_n_update,params_replay_nb_batch,params_reward_optimisation,params_soft_update,params_tau,params_verbose,scores_1000_average,scores_1000_maximum,scores_1000_minimum,scores_1000_weird_metric,scores_100_average,scores_100_maximum,scores_100_minimum,scores_100_weird_metric,scores_1100_average,scores_1100_maximum,scores_1100_minimum,scores_1100_weird_metric,scores_1200_average,scores_1200_maximum,scores_1200_minimum,scores_1200_weird_metric,scores_1300_average,scores_1300_maximum,scores_1300_minimum,scores_1300_weird_metric,scores_1400_average,scores_1400_maximum,scores_1400_minimum,scores_1400_weird_metric,scores_1500_average,scores_1500_maximum,scores_1500_minimum,scores_1500_weird_metric,scores_200_average,scores_200_maximum,scores_200_minimum,scores_200_weird_metric,scores_300_average,scores_300_maximum,scores_300_minimum,scores_300_weird_metric,scores_400_average,scores_400_maximum,scores_400_minimum,scores_400_weird_metric,scores_500_average,scores_500_maximum,scores_500_minimum,scores_500_weird_metric,scores_600_average,scores_600_maximum,scores_600_minimum,scores_600_weird_metric,scores_700_average,scores_700_maximum,scores_700_minimum,scores_700_weird_metric,scores_800_average,scores_800_maximum,scores_800_minimum,scores_800_weird_metric,scores_900_average,scores_900_maximum,scores_900_minimum,scores_900_weird_metric
13-02 12:41,473a1aa676e43996b2a12e6fe3c8cb844355ef57,52,0.375,False,0.99,0.5,1.0,"[4, 8, 16, 32, 2]",0.001,800,0.01,152,2,False,True,0.5,2,9.413333333333334,9.48,9.33,4.442857142857143,9.366666666666667,9.5,9.26,4.409523809523809,9.406666666666666,9.5,9.39,4.4714285714285715,9.326666666666666,9.33,9.23,4.395238095238096,9.42,9.39,9.32,4.438095238095238,9.293333333333333,9.39,9.27,4.414285714285714,9.4,9.48,9.27,4.414285714285714,9.266666666666667,9.27,9.21,4.385714285714286,9.3,9.32,9.23,4.395238095238096,9.386666666666667,9.43,9.34,4.447619047619048,9.453333333333333,9.5,9.39,4.4714285714285715,9.333333333333334,9.34,9.21,4.385714285714286,9.433333333333334,9.51,9.42,4.485714285714286,9.32,9.34,9.28,4.4190476190476184,9.353333333333333,9.39,9.32,4.438095238095238
13-02 12:41,473a1aa676e43996b2a12e6fe3c8cb844355ef57,52,0.375,False,0.99,0.5,1.0,"[4, 8, 16, 32, 2]",0.001,800,0.01,152,2,False,True,0.5,2,9.406666666666666,9.47,9.39,4.4714285714285715,9.393333333333333,9.43,9.3,4.428571428571429,9.38,9.47,9.34,4.447619047619048,9.406666666666666,9.46,9.38,4.466666666666667,9.346666666666666,9.35,9.29,4.423809523809523,9.42,9.49,9.35,4.452380952380952,9.346666666666666,9.35,9.27,4.414285714285714,9.266666666666667,9.28,9.17,4.366666666666666,9.513333333333334,9.55,9.42,4.485714285714286,9.366666666666667,9.41,9.33,4.442857142857143,9.473333333333333,9.52,9.38,4.466666666666667,9.413333333333334,9.49,9.35,4.452380952380952,9.413333333333334,9.49,9.43,4.4904761904761905,9.306666666666667,9.35,9.25,4.404761904761904,9.3,9.37,9.27,4.414285714285714
13-02 12:50,473a1aa676e43996b2a12e6fe3c8cb844355ef57,115,0.0,False,0.995,0.5,1.0,"[4, 6, 8, 4, 2]",0.005,800,0.3,10,0,False,True,0.4,2,9.28,9.31,9.22,4.390476190476191,9.246666666666666,9.31,9.18,4.371428571428571,9.42,9.45,9.37,4.461904761904761,9.32,9.31,9.25,4.404761904761904,9.366666666666667,9.4,9.33,4.442857142857143,9.233333333333333,9.3,9.16,4.3619047619047615,9.333333333333334,9.37,9.29,4.423809523809523,9.366666666666667,9.45,9.3,4.428571428571429,9.313333333333333,9.45,9.25,4.404761904761904,9.386666666666667,9.48,9.34,4.447619047619048,9.38,9.42,9.31,4.433333333333334,9.393333333333333,9.43,9.38,4.466666666666667,9.326666666666666,9.35,9.3,4.428571428571429,9.533333333333333,9.57,9.44,4.495238095238095,9.373333333333333,9.43,9.25,4.404761904761904
13-02 12:50,473a1aa676e43996b2a12e6fe3c8cb844355ef57,115,0.0,False,0.995,0.5,1.0,"[4, 6, 8, 4, 2]",0.005,800,0.3,10,0,False,True,0.4,2,9.286666666666667,9.35,9.29,4.423809523809523,9.36,9.39,9.33,4.442857142857143,9.42,9.45,9.34,4.447619047619048,9.306666666666667,9.33,9.24,4.4,9.413333333333334,9.49,9.34,4.447619047619048,9.393333333333333,9.48,9.38,4.466666666666667,9.293333333333333,9.39,9.3,4.428571428571429,9.313333333333333,9.44,9.32,4.438095238095238,9.293333333333333,9.36,9.27,4.414285714285714,9.4,9.37,9.3,4.428571428571429,9.326666666666666,9.38,9.31,4.433333333333334,9.366666666666667,9.45,9.34,4.447619047619048,9.346666666666666,9.38,9.28,4.4190476190476184,9.353333333333333,9.43,9.29,4.423809523809523,9.353333333333333,9.43,9.29,4.423809523809523
13-02 12:53,473a1aa676e43996b2a12e6fe3c8cb844355ef57,73,0.25,False,0.999,0.75,1.0,"[4, 6, 8, 4, 2]",0.001,1000,0.3,10,2,False,True,0.2,2,199.98,200.0,199.97,798.9300000000001,25.486666666666668,25.59,25.23,12.014285714285714,199.93333333333334,199.94,199.9,798.9300000000001,199.98,199.97,199.97,798.9300000000001,200.0,200.0,200.0,798.9300000000001,166.48666666666668,169.83,164.28,798.9300000000001,189.88,191.38,187.69,798.9300000000001,38.75333333333333,38.88,38.29,18.23333333333333,165.89333333333335,168.83,166.34,79.2095238095238,162.39333333333335,163.41,160.02,76.2,173.15333333333334,175.07,172.51,82.14761904761905,179.12666666666667,181.32,179.0,85.23809523809524,189.88666666666666,190.7,189.72,90.34285714285714,193.48,194.4,192.87,91.84285714285714,198.32,198.25,197.86,798.9300000000001
13-02 12:53,473a1aa676e43996b2a12e6fe3c8cb844355ef57,73,0.25,False,0.999,0.75,1.0,"[4, 6, 8, 4, 2]",0.001,1000,0.3,10,2,False,True,0.2,2,200.0,200.0,200.0,1199.605,33.61333333333334,34.7,33.19,15.804761904761904,200.0,200.0,200.0,1199.605,200.0,200.0,200.0,1199.605,199.91333333333333,199.96,199.88,1199.605,200.0,200.0,200.0,1199.605,200.0,200.0,200.0,1199.605,31.32,31.64,30.93,14.728571428571428,107.25333333333333,108.01,106.78,50.84761904761905,159.66,160.55,157.89,75.18571428571427,199.32,199.62,199.21,1199.605,197.42666666666668,198.07,196.83,1199.605,196.27333333333334,197.12,195.94,1199.605,199.86,199.93,199.82,1199.605,199.84,200.0,199.87,1199.605
13-02 13:14,473a1aa676e43996b2a12e6fe3c8cb844355ef57,200,0.125,True,0.99,0.625,0.75,"[4, 64, 128, 2]",0.0005,1000,0.01,105,0,True,True,0.4,2,9.246666666666666,9.33,9.22,4.390476190476191,9.32,9.42,9.32,4.438095238095238,9.393333333333333,9.44,9.34,4.447619047619048,9.413333333333334,9.43,9.35,4.452380952380952,9.306666666666667,9.32,9.23,4.395238095238096,9.293333333333333,9.37,9.26,4.409523809523809,9.286666666666667,9.3,9.22,4.390476190476191,9.353333333333333,9.4,9.3,4.428571428571429,9.306666666666667,9.31,9.22,4.390476190476191,9.386666666666667,9.49,9.38,4.466666666666667,9.246666666666666,9.32,9.2,4.3809523809523805,9.273333333333333,9.41,9.29,4.423809523809523,9.366666666666667,9.47,9.36,4.457142857142856,9.346666666666666,9.4,9.21,4.385714285714286,9.38,9.41,9.31,4.433333333333334
13-02 13:14,473a1aa676e43996b2a12e6fe3c8cb844355ef57,200,0.125,True,0.99,0.625,0.75,"[4, 64, 128, 2]",0.0005,1000,0.01,105,0,True,True,0.4,2,9.353333333333333,9.4,9.32,4.438095238095238,9.46,9.52,9.44,4.495238095238095,9.36,9.43,9.37,4.461904761904761,9.413333333333334,9.46,9.39,4.4714285714285715,9.3,9.32,9.23,4.395238095238096,9.486666666666666,9.49,9.37,4.461904761904761,9.386666666666667,9.42,9.28,4.4190476190476184,9.393333333333333,9.43,9.29,4.423809523809523,9.38,9.35,9.24,4.4,9.406666666666666,9.42,9.34,4.447619047619048,9.453333333333333,9.54,9.37,4.461904761904761,9.406666666666666,9.45,9.32,4.438095238095238,9.313333333333333,9.35,9.26,4.409523809523809,9.366666666666667,9.42,9.33,4.442857142857143,9.393333333333333,9.42,9.34,4.447619047619048
13-02 13:19,473a1aa676e43996b2a12e6fe3c8cb844355ef57,178,0.5,False,0.99,1.0,0.75,"[4, 16, 256, 2]",0.001,800,0.22749999999999998,200,2,False,False,0.4,2,9.38,9.49,9.36,4.457142857142856,9.4,9.42,9.33,4.442857142857143,9.306666666666667,9.35,9.27,4.414285714285714,9.36,9.36,9.31,4.433333333333334,9.38,9.41,9.34,4.447619047619048,9.373333333333333,9.45,9.32,4.438095238095238,9.32,9.37,9.3,4.428571428571429,9.473333333333333,9.57,9.48,4.514285714285714,9.286666666666667,9.36,9.22,4.390476190476191,9.386666666666667,9.4,9.27,4.414285714285714,9.4,9.44,9.34,4.447619047619048,9.366666666666667,9.4,9.34,4.447619047619048,9.406666666666666,9.47,9.33,4.442857142857143,9.36,9.42,9.33,4.442857142857143,9.34,9.39,9.33,4.442857142857143
13-02 13:19,473a1aa676e43996b2a12e6fe3c8cb844355ef57,178,0.5,False,0.99,1.0,0.75,"[4, 16, 256, 2]",0.001,800,0.22749999999999998,200,2,False,False,0.4,2,9.366666666666667,9.38,9.3,4.428571428571429,9.36,9.36,9.28,4.4190476190476184,9.24,9.31,9.19,4.376190476190476,9.38,9.43,9.32,4.438095238095238,9.413333333333334,9.45,9.37,4.461904761904761,9.226666666666667,9.26,9.18,4.371428571428571,9.333333333333334,9.34,9.24,4.4,9.306666666666667,9.39,9.22,4.390476190476191,9.333333333333334,9.36,9.26,4.409523809523809,9.353333333333333,9.41,9.28,4.4190476190476184,9.453333333333333,9.5,9.4,4.476190476190476,9.426666666666666,9.5,9.37,4.461904761904761,9.4,9.46,9.34,4.447619047619048,9.4,9.42,9.34,4.447619047619048,9.373333333333333,9.46,9.26,4.409523809523809
